sentence_A	sentence_B	entailment_label	label_enc
A small toy girl is in a riding car	A child is sitting in a red and yellow toy car	NEUTRAL	2
A cat with a white coat, perched on a small wooden cabinet, is looking outside the window	The cat perched on the table is looking out the window	NEUTRAL	2
A man is cutting a tree with an axe	A person is chopping down a tree with an axe	ENTAILMENT	1
There is no dog chasing another or holding a stick in its mouth	A dog is chasing another and is holding a stick in its mouth	CONTRADICTION	0
A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up	The orange rider is driving a motorcycle on one wheel	NEUTRAL	2
A black dog is running in the grass and its tongue is hanging out	A dog, which is black, is running in the grass	ENTAILMENT	1
There is no man playing a piano	A man is playing a guitar	NEUTRAL	2
Two children are playing soccer in the park	There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass	NEUTRAL	2
A man with climbing equipment is hanging from a rock, which is vertical and white	A man with equipment used for climbing is hanging from a white, vertical rock.	ENTAILMENT	1
A big brown and white spotted dog is lying on a jacket on the street	The dog is having a rest in the living room	NEUTRAL	2
Two children are not playing in the surf	Two children are playing in the surf	CONTRADICTION	0
A little black dog is chasing a little brown dog	There is no little black dog chasing a little brown dog	CONTRADICTION	0
There is no monkey kicking at the gloved hand of a person	The monkey is practicing martial arts	NEUTRAL	2
The man is riding a horse	A man is riding a horse	ENTAILMENT	1
A brown puppy is gnawing a metallic post that is stuck in the ground	A malnourished looking dog is standing on its hind legs and preparing to jump	NEUTRAL	2
There is no boy standing in front of the blue building in the space reserved for handicapped people	A boy is standing in front of the blue building in the space reserved for handicapped people	CONTRADICTION	0
The woman in the white sweater is not drawing a tattoo on the hand of a teenager	The woman in the white sweater is drawing a tattoo on the hand of a teenager	CONTRADICTION	0
A man is playing a guitar	There is no one playing a piano	NEUTRAL	2
The dog in the red vest is running in the field	A dog with long hair and a red vest is sitting in the grass	NEUTRAL	2
A woman is putting a baby in a waste bin	A woman is putting a child in a waste bin	ENTAILMENT	1
Five people are standing with three dogs in the green field beside the road	Five people are standing in the grass with three dogs	ENTAILMENT	1
One person is riding a bicycle in the sand beside the ocean	A person is riding a bicycle in the sand beside the ocean	ENTAILMENT	1
The boy is playing the piano	The boy is playing a musical instrument	ENTAILMENT	1
An old woman is wearing a shirt with a rose pattern upon it and is clumsily carrying two newspapers	A woman is wearing sunglasses of large size and is holding newspapers in both hands	NEUTRAL	2
The smiling boy in winter clothes is waving his mittened hands outside the building in the snow	A smiling boy in winter clothes is waving his mittened hands outside a building in the snow	ENTAILMENT	1
Two people are standing in the ocean and watching the sunset	Nobody is standing in the ocean and watching the sunset	CONTRADICTION	0
Two dogs are playing by a tree	Two dogs are playing by a plant	ENTAILMENT	1
A man is sitting	A man is walking outside	NEUTRAL	2
A girl is playing the guitar	One man is intensely playing a guitar	NEUTRAL	2
A man is riding a horse	A woman is riding a horse	NEUTRAL	2
A herd of deer is crossing the street	One herd of deer is crossing the street	ENTAILMENT	1
The man is talking on the telephone	The man is speaking on the phone	ENTAILMENT	1
A young girl is sitting in a swimsuit	A young girl is sitting in swimming gear	ENTAILMENT	1
There is no tennis player lunging to the left	A tennis player with a green headband is hitting the ball	NEUTRAL	2
A yellow cat is chasing a ball	A dog is turning on the grass and pursuing a flying ball	NEUTRAL	2
Two dogs are fighting for a frisbee in a lake	Two brown dogs are playing with a frisbee in the water	NEUTRAL	2
A dog is playing with a toy	A dog is having fun with a toy	ENTAILMENT	1
A child is running in and out of the ocean waves	A boy is waving at some young runners from the ocean	NEUTRAL	2
Two dogs are playing on the beach	There are no white dogs running and jumping along a beach	NEUTRAL	2
The man is cautiously operating a stenograph	The man is operating a stenograph	ENTAILMENT	1
A little dog is running on the sand	The dog is running across the gravel	NEUTRAL	2
A black dog is jumping from n hay ball to another hay ball	A white dog is leaping from a cylindrical hay bale	NEUTRAL	2
A young climber is making a rock wall for the boys	A young child is climbing a rock climbing wall which is indoors	NEUTRAL	2
A young girl in a leotard colored in blue is jumping in the air	A young girl in blue is jumping in the air	ENTAILMENT	1
There is no woman riding a horse	A woman is riding a horse	CONTRADICTION	0
A man is rising from a swamp	A person is coming out of the water	NEUTRAL	2
Two large dogs are frolicking in a grassy field	Two large dogs are frolicking in a field	ENTAILMENT	1
The men are fighting with their fists in a ring	The men are fist fighting in a ring	ENTAILMENT	1
A man is cutting a paper	There is no man cutting a paper	CONTRADICTION	0
There is no white cat perched on a small wooden cabinet looking outside the window	The cat perched on the table is looking out the window	NEUTRAL	2
The girl in the blue and white uniform is cheering	Some cheers are being performed by the girl in the blue and white uniform	ENTAILMENT	1
A woman is playing a flute	The woman is not playing the flute	CONTRADICTION	0
The oriental lady is not cutting a carrot into thin pieces	A woman is slicing a carrot	NEUTRAL	2
A blonde boy in green is standing on a swing	A little girl with blond hair is smiling and sitting on a swing	NEUTRAL	2
A man is holding up an electronic device	A person is holding up an electronic device	ENTAILMENT	1
A cheetah is shaken off by its prey across a field.	A cheetah is quickly running behind its prey.	NEUTRAL	2
A man is emptying a container made of plastic	A man is filling a container made of plastic	CONTRADICTION	0
There is no man in a hat playing a harp	A man in a hat is playing a harp	CONTRADICTION	0
There is no man eating cereal	A man is eating a bowl of cereal	CONTRADICTION	0
A boy is studying a calendar	A boy is staring at a calendar	ENTAILMENT	1
Two people are standing in the ocean and looking at the sunset	Two people are wading through the water	ENTAILMENT	1
The man is intensely playing the guitar	The guitar player is loving one girl	NEUTRAL	2
Two people are in the snow, wearing clothes that provide camouflage	Two people are walking two dogs with golden coats in the snow	NEUTRAL	2
There is no woman cutting an onion	A woman is cutting an onion	CONTRADICTION	0
A man is playing a wooden flute	A wooden flute is being played by a man	ENTAILMENT	1
A seabird is slowly flying over some rocks	A seabird is flying over some rocks	ENTAILMENT	1
A brown dog and a red dog are sitting sadly on the beach	A brown dog and a red dog are frolicking on the beach	NEUTRAL	2
A baby is talking	The child is silent	NEUTRAL	2
A flute is being played in a lovely way by a girl	A flute is being played by a girl	ENTAILMENT	1
A man with paint covered clothes is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	ENTAILMENT	1
A young child is splashing in the water	The young child is splashing in the water	ENTAILMENT	1
Someone is taking the okra out of a pot	Someone is cooking okra in a pan	NEUTRAL	2
The small child is wading through the water and is being guided by another person	The small child is not wading through the water and is not being guided by another person	CONTRADICTION	0
A dog is chasing another and is holding a stick in its mouth	A dog is chasing a stick and holding another dog in its mouth	NEUTRAL	2
Three men are looking into the distance	Three men are looking at something nearby	NEUTRAL	2
A man is sitting in the woods	The man is hiking in the woods	NEUTRAL	2
A woman is performing a trick on a ramp with a bicycle	A woman is jumping with a bicycle	NEUTRAL	2
The man is operating a stenograph	The man isn't operating a stenograph	CONTRADICTION	0
The people are standing at a carnival	The people are standing at a parade	NEUTRAL	2
The woman is waterskiing	The woman is not waterskiing	CONTRADICTION	0
A brown and white dog is holding a baseball in its mouth	A dog, which has a brown and white coat, is holding a baseball in its mouth	ENTAILMENT	1
A man is sitting peacefully on a boat in front of the sunset near a flag	A man is sitting on a boat in font of the sunset, near a flag	ENTAILMENT	1
A group of people is holding drinks and pointing at the camera	Drinks are being held by people pointing at the camera	ENTAILMENT	1
A young boy covered in grass is jumping near a wooden fence	A wet boy is jumping around on dirty and wet grass	NEUTRAL	2
Two cats are playing with a red ball	Two brown dogs are fighting over a red ball and are playing in the grass	NEUTRAL	2
A man is not rock climbing and a city and a bay are in the background	A man is rock climbing, pausing and calculating the route	NEUTRAL	2
A man is eating onion slices	A man is slicing an onion	NEUTRAL	2
The woman is pouring oil into a skillet	One chimp is angrily kicking the target	NEUTRAL	2
The man is riding a mechanical bull	A person is riding a mechanical bull	ENTAILMENT	1
A man is tying a shoe	A man is tying the shoe	ENTAILMENT	1
A small child is showing excitement on a swing set at the park	The little girl is not swinging and the woman is not standing behind her	NEUTRAL	2
The man is being knocked off of a horse	Someone is falling off a horse	ENTAILMENT	1
A person is taking away the meat in the skillet	A person is putting meat into a skillet	NEUTRAL	2
An Asian woman in in the midst of many people is carrying a black bag	A girl with a black bag is on a crowded train	NEUTRAL	2
A dog is chasing another and is holding a stick in its mouth	Two dogs are running and carrying an object in their mouths	ENTAILMENT	1
A little boy is wearing a green soccer strip and is running on the grass	A child in a green and white sports uniform is resting on the grass	NEUTRAL	2
A young man and a woman are riding bikes on the boardwalk near the ocean	An older man and a woman are riding bikes on the boardwalk near the ocean	NEUTRAL	2
A woman is cutting a carrot	A man is slicing a tomato	NEUTRAL	2
A brown and white dog is passing under a red, yellow and white hurdle	A large brown dog is jumping over a red hurdle	NEUTRAL	2
A man is driving a car	There is no man driving a car	CONTRADICTION	0
The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	NEUTRAL	2
A boy is filling a pitcher with water	A woman is collecting tap water in a mug	NEUTRAL	2
A woman is adding ingredients to a big bowl	A woman is cracking some eggs into a bowl	NEUTRAL	2
A person is riding a motorbike	A woman is slicing potatoes	NEUTRAL	2
The guitar is being played by the man, who has the guitar case open for donations	A woman is dancing	NEUTRAL	2
The yellow dog is drinking water from a bottle	The yellow dog is drinking water from a pot	CONTRADICTION	0
A few men are watching cricket	A few men are playing cricket	NEUTRAL	2
The woman is measuring the other woman	A woman is being measured by another woman	ENTAILMENT	1
Someone is playing the guitar	A shirtless woman is jumping over a log	NEUTRAL	2
The men in brown shorts are walking on the rocks beside a river	The man in brown colored shorts is walking on the rocks beside a river	ENTAILMENT	1
A girl is skipping rope on a sidewalk	A girl is skipping rope on near a street	ENTAILMENT	1
Two boys are wearing brown shirts and are tugging at a rope on a wooden platform	Two girls are wearing brown shirts and are tugging at a rope on a wooden platform	NEUTRAL	2
A man is parking a car in a garage	A man is getting into a car in a garage	NEUTRAL	2
Two boys are studying	Two boys are playing a video game	NEUTRAL	2
A man is doing a skateboard trick on an outdoor park porch	A man is doing a skateboard trick on a park porch	ENTAILMENT	1
A cat is walking away from some corn	A cat is eating some corn	NEUTRAL	2
A skateboarder is jumping in the air	A man in a red shirt is doing a trick with the rollerblades	NEUTRAL	2
The man is hammering a nail with a camera	Someone is banging a camera lens against a nail	NEUTRAL	2
A young black child is standing on the edge of a body of water near some buckets	A boy next to some buckets of rags is not holding an object	NEUTRAL	2
A man is holding a small animal in one hand	A man is hiding a small monkey	NEUTRAL	2
A young lady in a bikini is lying on the beach	A young lady in a bikini is standing on the beach	NEUTRAL	2
Several swimmers are jumping into the water	Several jumpers are swimming in the water	NEUTRAL	2
A toy train is striking a toy car	A car and a train are striking a toy	NEUTRAL	2
There is no cat sliding upside down under a couch	A cat is sliding upside down under a couch	CONTRADICTION	0
Someone is cooking okra in a pan	Somebody is boiling okra in a pot	NEUTRAL	2
No little dog is running on the sand	The dog is running across the gravel	NEUTRAL	2
A dog is running on the ground	The girl is tapping her fingernails	NEUTRAL	2
A dog is turning on the grass and pursuing a flying tennis ball	A dog is turning on the grass and pursuing a flying ball	ENTAILMENT	1
A blond woman is sitting on the roof of a yellow vehicle and two people are inside	Two people are driving a jeep and a lady is sitting on the top of it	NEUTRAL	2
An old, topless woman is covered in paint	A nude lady is walking in front of a crowd in body paint	NEUTRAL	2
An oriental man and two women are turning their backs to the camera	A group of people is standing together and looking at the camera	NEUTRAL	2
There is no classroom full of students looking in the same direction inside a bamboo structure	A group of students in uniforms is listening attentively at the front of the class	NEUTRAL	2
A man is riding a horse	There is no man driving a car	NEUTRAL	2
The drums are being played by the man	The man is playing the drums	ENTAILMENT	1
Two dogs are running through the park	Two animals are running through the park	ENTAILMENT	1
A woman in jeans is sitting on the saddle of a horse	The woman in jeans is sitting on the saddle of a horse	ENTAILMENT	1
A boy is practicing the keyboard	A boy is sitting in a room and playing a piano by lamp light	NEUTRAL	2
The man with the dyed purple hat is operating a camera that makes videos	A man with a camera is studying the subject	NEUTRAL	2
An adult is in the amphitheater and is talking to a boy	The man and the boy are standing at the top of the stairs, which are outdoors	NEUTRAL	2
The dog is knocking a boy into the water	A boy is being knocked into the water by the dog	ENTAILMENT	1
The surfer is leaning on a surfboard	The man is wearing a wetsuit and is riding a surfboard	NEUTRAL	2
Two teenage girls are wearing fancy dresses at an event	Two girls in their teens are wearing fancy dresses at an event	ENTAILMENT	1
A little boy in clothes dyed in red is jumping into the air	A little boy in red clothes is jumping into the air	ENTAILMENT	1
A brown dog is staring attentively at a brown and white dog	The little dog is grabbing the bedroom slipper with its mouth funnily	NEUTRAL	2
A topless boy has a clean face	A boy in a blue shirt has dirt on his face	NEUTRAL	2
A young climber is making a rock wall for the boys	The young boy is climbing the wall made of rock	NEUTRAL	2
A man is wearing a long sleeved blue shirt and jeans and is riding a unicycle down a street	A man is wearing a blue checkered shirt and cheerfully riding a unicycle in the street	NEUTRAL	2
Several women are taking off pink bunny ears and are pointing to the left	Women are wearing bunny ears and race numbers and are pointing at something in the distance	NEUTRAL	2
A girl with Indian clothing and henna on her hand is going through paperwork	A man is wearing a colorful shirt and a lot of jewelry	NEUTRAL	2
A poor man is being fed snakes and mice	The man is cautiously feeding a mouse to the snake	NEUTRAL	2
The lady is cracking an egg into a bowl	The lady is cracking an egg into a dish	ENTAILMENT	1
A boy is spanking a man with a plastic sword	A boy is whacking a man with a sword	ENTAILMENT	1
One woman is playing a flute	A flute is being played by a girl	NEUTRAL	2
There is no dog playing in a field of brown grass	Four dogs are playing in a grassy area	NEUTRAL	2
Someone is banging the lens of a camera against a nail	Someone is banging a camera lens against a nail	ENTAILMENT	1
A man is climbing a rope	There is no man holding a mask in his raised hand	NEUTRAL	2
The turtle is following the fish	A sea turtle is not hunting for fish	NEUTRAL	2
Seasoning is being added to the water by the man	The man is seasoning the sausages	NEUTRAL	2
A big city is begging for men and money holders	A man in a big city is holding a sign and begging for money	NEUTRAL	2
A brown and black dog is running through the leaves	A brown and black dog is resting in the leaves	NEUTRAL	2
A woman is pouring a mixture into a bowl and mixing it	A woman is preparing a skillet for the eggs	NEUTRAL	2
A man is playing the guitar	Nobody is playing the guitar	CONTRADICTION	0
A man is cleaning a dish	The woman is slicing an onion with a knife	NEUTRAL	2
A man and two women in a darkened room are sitting at a table with candles	The group of people is not sitting in a dim room	CONTRADICTION	0
The man is tossing a kid into the swimming pool that is near the ocean	A kid swimming in the ocean is tossing a coin into the pool, near the man	NEUTRAL	2
A man is escaping a rising swamp	A man is rising from a swamp	NEUTRAL	2
The man is stirring the sauce for the chicken	The oil is being stirred by a man	NEUTRAL	2
A waterfall is flowing into a shallow pool	The people are walking on the road beside a waterfall, which is beautiful	NEUTRAL	2
A girl, who is little, with blond hair is smiling and sitting on a swing	A blonde boy in green is sitting on a swing	NEUTRAL	2
A woman is cutting meat	A woman is slicing an onion	NEUTRAL	2
The young boy in the blue shirt is jumping into the water	A young boy is diving into a still lake	NEUTRAL	2
Someone is boiling okra in a pot	The man is not playing the drums	NEUTRAL	2
A lady is cutting up some meat	The woman is eating some cut pieces of raw meat	NEUTRAL	2
Some horses are racing furiously over the green grass and jumping an obstacle	The Jockeys are racing horses on the field, which is completely green	NEUTRAL	2
A woman is peeling a potato	A woman is putting away a potato	NEUTRAL	2
A lemur is hanging on a cord	A lemur is hanging on a rope	ENTAILMENT	1
A man is eating a bowl of cereal	The man is eating cereal	ENTAILMENT	1
Two bmx bikers are jumping dirt ramps in front of the water	Some bikers are getting airborne on a track near water and a skyline	ENTAILMENT	1
A man is singing and standing on the sidewalk	A man is singing and walking down the sidewalk	NEUTRAL	2
The violin is being played by a woman	A man is playing the piano	NEUTRAL	2
A man is standing on a sidewalk	A man is standing tiredly next to a bus	NEUTRAL	2
A man is putting away the guitar	A man is playing a guitar	NEUTRAL	2
A woman is playing the violin	There is no woman playing the violin	CONTRADICTION	0
There is no man sitting on the floor and playing a guitar	A man is sitting on the floor and is playing a guitar	CONTRADICTION	0
The man is slicing a potato	The person is carefully slicing a potato	NEUTRAL	2
A man is buttering a slice of bread	A lemur is hanging on a cord	NEUTRAL	2
A woman is not slicing carrots	A woman is cutting potatoes	NEUTRAL	2
A young boy in a helmet is riding a bike on the road	The little boy is riding a bicycle in a race	NEUTRAL	2
The cop is sitting on a police bike	The cop is sitting on a police bicycle	ENTAILMENT	1
A girl from Asia, in front of a window made of bricks, looks surprised	A girl is wearing a t-shirt and has her mouth open.	NEUTRAL	2
A person is not tearing paper	A person is tearing paper	CONTRADICTION	0
The black dog is walking along a tree trunk bridge over water	The black dog is not walking along a tree trunk bridge over water	CONTRADICTION	0
A rope is being climbed by a man	A man is eating a carrot sliced by a machine	NEUTRAL	2
A boy in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	NEUTRAL	2
A man dressed in black is wearing an elaborate black mask	A mask is being held by a man in his raised hand	NEUTRAL	2
A man is sitting on the floor and is playing a guitar	The man is pacing around a room	NEUTRAL	2
A young boy isn't climbing a wall made of rock	The young boy is climbing the wall made of rock	CONTRADICTION	0
There is no small dog chasing a large brown cow	A dog is chasing the tail of an animal in the grass	NEUTRAL	2
The young boy is climbing the wall made of rock	A young kid is climbing a rock climbing wall which is indoors	NEUTRAL	2
The girl is carrying a sign and a group of people is following her	A young girl in a blue shirt is walking on the sidewalk and holding up a pink sign	NEUTRAL	2
A little girl is frowning and taking off a fake nose and glasses	A little girl is smiling and wearing a fake nose and glasses	NEUTRAL	2
Two dogs are running and carrying a toy in their mouths	A dog is chasing another and is holding a stick in its mouth	NEUTRAL	2
A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain	A woman is playing the trumpet	NEUTRAL	2
A lot of people are in an ice skating park	An ice skater is outdoors performing on a rink full of people	NEUTRAL	2
A boy is playing on a toy phone	A boy is playing on a toy	ENTAILMENT	1
The man in the straw hat is smoking a cigarette	A cigarette is being smoked by the man in the straw hat	ENTAILMENT	1
A young man is talking to a leaf	A dog is jumping into a box	NEUTRAL	2
The man is not putting chicken into the container	The man is putting chicken into the container	CONTRADICTION	0
The man is feeding the snake with a mouse	There is no man working on the laptop	NEUTRAL	2
One man is sitting on the chair	The girl, who is little, is combing her hair into a pony tail.	NEUTRAL	2
The man is training	Two men are fighting	NEUTRAL	2
A child is playing slip and slide in the grass	A child is splashing in a pool for children and no other children are playing in the background	NEUTRAL	2
The woman is cracking two eggs into a bowl made of glass	The woman is cracking two eggs into a glass bowl	ENTAILMENT	1
A woman is standing at the beach with a dog on a leash	A woman in a bikini is pulling a dog on a leash at the beach	NEUTRAL	2
A man is showing off a small monkey	A man is exhibiting a small monkey	ENTAILMENT	1
A person is wearing a hat and is sitting on the grass	A man is running in a field	NEUTRAL	2
A cat is playing with a small bottle	An animal is playing with a small bottle	ENTAILMENT	1
The lady is cracking an egg into a bowl	The person is cracking eggs into a bowl	ENTAILMENT	1
A person is riding a motorbike in the event related to motocross	A motocross rider is giving a motorbike to a person at an event	NEUTRAL	2
A kid is playing the guitar	There is no young boy singing and playing a guitar	NEUTRAL	2
A brown dog is calmly standing in the water	A brown dog is standing in the water	ENTAILMENT	1
Rollerbladers are rolling in formation down a hill	Rollerbladers are running in formation down a hill	NEUTRAL	2
A child is walking down the street and a jeep is pulling up	A child is walking down the street and a jeep is not pulling up	CONTRADICTION	0
A woman is seasoning a ham	A woman is seasoning a piece of meat	ENTAILMENT	1
A girl in gold and purple is holding a rainbow afghan	A man is squatting in brush and taking a photo	NEUTRAL	2
A woman is putting on makeup carefully	The singer is leaving the band	NEUTRAL	2
A lady is surfing and riding a wave	A blond girl is looking at the waves	NEUTRAL	2
A woman is slicing a tomato	There is no woman slicing a tomato	CONTRADICTION	0
Drinking milk helps a cat's hunger	The cat is licking milk from a saucer	NEUTRAL	2
A man is preparing some dish	A man is preparing a dish	ENTAILMENT	1
A girl is looking on surprised from a front window in a house in Asia.	A girl is wearing a t-shirt and has her mouth open.	NEUTRAL	2
A person is quickly chopping mushrooms with a knife	A man is rapidly chopping some mushrooms with a knife	ENTAILMENT	1
A child is holding a camera in front of his face	A young child with hair of black color is taking a picture with a camera	NEUTRAL	2
A surfer is riding the wave	The wave is being ridden by a surfer	ENTAILMENT	1
A woman is putting the baby into a trash can	A person is putting meat into a skillet	NEUTRAL	2
A boy in a strange outfit is riding the bike	A woman is wearing paint and costume pieces and is riding a bike on a busy street	NEUTRAL	2
A family is posing by the mantel and the Christmas tree	A sad family is posing by the fireplace	NEUTRAL	2
A dog of large size is running on the grass with a tennis ball in its mouth	A large dog is running on the grass with a tennis ball in its mouth	ENTAILMENT	1
A boy is skateboarding on a half pipe	A man is skateboarding on a half pipe	NEUTRAL	2
The boy is not riding a bike on the top of a metal fence	The boy is riding a bike on the top of a metal fence	CONTRADICTION	0
The man is drawing	The man is painting	NEUTRAL	2
There is no guinea pig eating a carrot	A small guinea pig is gnawing and eating a piece of carrot on the floor	NEUTRAL	2
A cat is playing a piano	A cat song is being played on a piano	NEUTRAL	2
Four girls are doing backbends and playing indoors	Four children are doing backbends in the park	NEUTRAL	2
The orange rider is not driving a motorcycle on one wheel	The orange rider is driving a motorcycle on one wheel	CONTRADICTION	0
Several young people are posing for a photo and holding beers	A group of people is holding drinks and pointing at the camera	NEUTRAL	2
There is no man with a hard hat dancing	A man with a hard hat is dancing	CONTRADICTION	0
The boy is checking a calendar	A boy is checking a calendar	ENTAILMENT	1
A man in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench	A woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench	NEUTRAL	2
A man is punching a soccer ball	A man is mixing the content of a bowl	NEUTRAL	2
The person in the blue jacket is wearing a colorful helmet	A race car driver is sitting down and is motionless	NEUTRAL	2
The girl in the red shirt is blowing a bubble 	The girl in a dyed red shirt isn't blowing a bubble	CONTRADICTION	0
A man is throwing away a guitar	A man is playing a guitar	NEUTRAL	2
A man is eating a banana	A man is eating a fruit	ENTAILMENT	1
The men are putting suitcases into the trunk of a car	The men are not packing suitcases into the trunk of a car	CONTRADICTION	0
A seated woman is singing a song and playing the guitar	A woman on a rock is standing and looking around	NEUTRAL	2
A man is whacking a boy with a sword	A boy is spanking a man with a plastic sword	NEUTRAL	2
A man is breaking boards made of wood with his hand	A man is breaking tiles with his hands	NEUTRAL	2
There is no man singing to a woman	A man is singing to a woman	CONTRADICTION	0
A man is slicing a bun	A man is slicing a tomato	NEUTRAL	2
A man is drinking orange juice and walking on a sunny day	A person is drinking orange juice and walking	ENTAILMENT	1
A man is singing and playing the guitar	A man is singing a song and playing the guitar	ENTAILMENT	1
The man is sitting indoors	A shoeless woman is sitting on a blanket under a lavender umbrella	NEUTRAL	2
A bird is resting its wings in the water	A bird is flapping its wings on the water	NEUTRAL	2
A young man is pushing a motocross bike up a dirt hill	Some old dirt bikers are getting a dirt bike up a sandy hill	NEUTRAL	2
A boy is being knocked into the water by the dog	A person in a motocross uniform is wearing a helmet and rides a red motorcycle	NEUTRAL	2
A cat is playing keyboards	A cat is sitting on a piano	NEUTRAL	2
A man is playing a harp	A harp is being played by a man	ENTAILMENT	1
A big group of people are standing and two are sitting on the couch	A small group of people are standing and two are sitting on the couch	NEUTRAL	2
The lady is penciling on eyeshadow	The woman is penciling on eyeshadow	ENTAILMENT	1
A person is folding a piece of paper	Someone is folding a piece of paper	ENTAILMENT	1
A boy is climbing up a wall artificially built for climbing and is attached to a rope	A climbing boy rescues the fearful cat from over the wall	NEUTRAL	2
A cat is playing with a watermelon	A woman is looking at the view of a city	NEUTRAL	2
A man is holding up an electronic device	The man is not taking a picture of himself and another guy	NEUTRAL	2
A cat is looking at a store counter	A dog is looking around	NEUTRAL	2
A white dog on a leash is walking in the water	The dog is on a leash and is walking out of the water	NEUTRAL	2
A distant person with a blue backpack is hiking area full of rocks	The person is hiking	ENTAILMENT	1
There is no child playing with a water spout outdoors with the rest of his family watching	A boy is holding a hose next to a man and another boy is watching	NEUTRAL	2
A person is peeling a potato	There is no person peeling a potato	CONTRADICTION	0
A black dog and a small white and black dog are looking up at a kitchen countertop	A large dog and a small dog are standing next to the kitchen counter and are sniffing	NEUTRAL	2
Children are playing in ground fountains	Little kids are playing in a water fountain in front of lots of people	NEUTRAL	2
A woman is leaning on the ledge of a balcony	A man is leaning on the ledge of a balcony	NEUTRAL	2
There is no man fitting a silencer to a pistol	A man is fixing a silencer to a gun	CONTRADICTION	0
A homeless man is holding up a sign and is pitifully begging for money	A man in a big city is holding a sign and begging for money	NEUTRAL	2
A boy wearing a striped shirt is running barefoot on the sandy hill	A boy is running on the beach	NEUTRAL	2
A man is jumping rope outside	A woman is slicing a cucumber	NEUTRAL	2
Two dogs are running through the beach	Two dogs are running quickly through a park	NEUTRAL	2
A child, who looks young, is standing in front of some trees	A young child is standing in front of some trees	ENTAILMENT	1
A kid in orange is playing outside with a snowball	A snow ball is being made by a child	NEUTRAL	2
There is no monkey pulling a dog's tail	A monkey is teasing a dog at the zoo	NEUTRAL	2
Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	Two toddlers are eating corndogs in a wagon, which is really small	ENTAILMENT	1
There are no children playing on a statue	Small children are climbing a statue in a park	CONTRADICTION	0
A man is drawing some figures	A man is erasing some figures	NEUTRAL	2
A woman is adding ingredients to a big bowl	A woman is adding ingredients to a bowl	ENTAILMENT	1
A black dog on a leash is walking in the water	A dog on a leash is walking in the water	ENTAILMENT	1
Two men are riding an orange raft on the beach	Two men are riding an orange raft on the shore	NEUTRAL	2
One man is climbing a rock wall and another man is holding a rope	One climber is holding a rock and another man is roping a wall	NEUTRAL	2
People are walking across a rope bridge over a rocky stream	Three people are walking across a rope and wood bridge over a river	NEUTRAL	2
A woman is showing a small dog to an infant	A woman is crouching down next to a dog and is smiling at a little girl sitting on the sidewalk	NEUTRAL	2
A woman is chopping broccoli	The woman is not chopping garlic	NEUTRAL	2
A girl, who is little, is playing the piano	A little girl is playing the piano	ENTAILMENT	1
A guitar is being played by a man	A man is opening a box with a knife	NEUTRAL	2
The girl is cheering the man in the blue and white uniform	A soccer player is being tackled by his opponent	NEUTRAL	2
A young swimmer is sitting in a bathing suit and waiting for the next race	A kid is waiting wearing swim gear	ENTAILMENT	1
A man with a shirt is posing with the arms spread next to a woman	A man without a shirt is posing with the arms spread next to a woman	NEUTRAL	2
A man is playing the drums	A man is disassembling the drum	NEUTRAL	2
Two small children are playing with a toy car in the street	Two small children are idling in the street	NEUTRAL	2
A woman is slicing an onion	A woman is cutting a potato	NEUTRAL	2
Two men are not taking a break from construction	Two construction workers are sitting up on the side of a building	NEUTRAL	2
There is no woman slicing a carrot	The oriental lady is cutting a carrot into thin pieces	CONTRADICTION	0
The man is pouring some oil on the tomatoes	One person pours oil on a few tomatoes	ENTAILMENT	1
Four people are walking across thick snow and the sun is setting	Four people are standing in thick snow and the sun is rising	NEUTRAL	2
A boy is sitting in a seat	A toddler is standing up	NEUTRAL	2
Two people are kissing near a crowd	A woman is being kissed by a man	NEUTRAL	2
The little kid is singing and playing the guitar	A baby is playing a guitar	ENTAILMENT	1
A cord is being climbed by a man	A man is slicing the carrot with a machine	NEUTRAL	2
A car is being driven by a man	A man is driving a car	ENTAILMENT	1
The dog with the brown coat is playing outdoors	The furry brown dog is running through the grassy area	NEUTRAL	2
The man is putting chicken into the container	A man is putting some food in a box	ENTAILMENT	1
A man is diving off a cliff	There is no man riding a motorcycle	NEUTRAL	2
A family is purchasing something at the vending machine	Two boys and a man are playing games at an arcade	NEUTRAL	2
The singer is playing the guitar at an acoustic concert for a woman	A person is playing a guitar and singing	ENTAILMENT	1
A woman is playing with a brown dog on a garden path	A woman is playing with a brown cat on a garden path	NEUTRAL	2
The lady is breaking raw eggs into a bowl	The lady isn't breaking raw eggs into a bowl	CONTRADICTION	0
A couple is running towards the ocean	A snowboarding man is jumping through the air	NEUTRAL	2
Five wooden stands are in front of each child's hut	Five children are standing in front of a wooden hut	NEUTRAL	2
